model,layer_name,layer_index,layer_kind
dinov2-vit-base-p14,blocks.5.attn.qkv,68,fully_connected
dinov2-vit-base-p14,blocks.5.attn.proj,69,fully_connected
dinov2-vit-base-p14,blocks.5.attn.proj_drop,70,attention
dinov2-vit-base-p14,blocks.5.ls1,71,other
dinov2-vit-base-p14,blocks.5.drop_path1,72,other
dinov2-vit-base-p14,blocks.5.norm2,73,normalization
dinov2-vit-base-p14,blocks.5.mlp.fc1,74,fully_connected
dinov2-vit-base-p14,blocks.5.mlp.act,75,activation
dinov2-vit-base-p14,blocks.5.mlp.fc2,76,fully_connected
dinov2-vit-base-p14,blocks.5.mlp.drop,77,other
dinov2-vit-base-p14,blocks.5.ls2,78,other
dinov2-vit-base-p14,blocks.5.drop_path2,79,other
dinov2-vit-base-p14,blocks.6.norm1,80,normalization
dinov2-vit-base-p14,blocks.6.attn.qkv,81,fully_connected
dinov2-vit-base-p14,blocks.6.attn.proj,82,fully_connected
dinov2-vit-base-p14,blocks.6.attn.proj_drop,83,attention
dinov2-vit-base-p14,blocks.6.ls1,84,other
dinov2-vit-base-p14,blocks.6.drop_path1,85,other
dinov2-vit-base-p14,blocks.6.norm2,86,normalization
dinov2-vit-base-p14,blocks.6.mlp.fc1,87,fully_connected
dinov2-vit-base-p14,blocks.6.mlp.act,88,activation
dinov2-vit-base-p14,blocks.6.mlp.fc2,89,fully_connected
dinov2-vit-base-p14,blocks.6.mlp.drop,90,other
dinov2-vit-base-p14,blocks.6.ls2,91,other
dinov2-vit-base-p14,blocks.6.drop_path2,92,other
dinov2-vit-base-p14,blocks.7.norm1,93,normalization
dinov2-vit-base-p14,blocks.7.attn.qkv,94,fully_connected
dinov2-vit-base-p14,blocks.7.attn.proj,95,fully_connected
dinov2-vit-base-p14,blocks.7.attn.proj_drop,96,attention
dinov2-vit-base-p14,blocks.7.ls1,97,other
dinov2-vit-base-p14,blocks.7.drop_path1,98,other
dinov2-vit-base-p14,blocks.7.norm2,99,normalization
dinov2-vit-base-p14,blocks.7.mlp.fc1,100,fully_connected
dinov2-vit-base-p14,blocks.7.mlp.act,101,activation
dinov2-vit-base-p14,blocks.7.mlp.fc2,102,fully_connected
dinov2-vit-base-p14,blocks.7.mlp.drop,103,other
dinov2-vit-base-p14,blocks.7.ls2,104,other
dinov2-vit-base-p14,blocks.7.drop_path2,105,other
dinov2-vit-base-p14,blocks.8.norm1,106,normalization
dinov2-vit-base-p14,blocks.8.attn.qkv,107,fully_connected
dinov2-vit-base-p14,blocks.8.attn.proj,108,fully_connected
dinov2-vit-base-p14,blocks.8.attn.proj_drop,109,attention
dinov2-vit-base-p14,blocks.8.ls1,110,other
dinov2-vit-base-p14,blocks.8.drop_path1,111,other
dinov2-vit-base-p14,blocks.8.norm2,112,normalization
dinov2-vit-base-p14,blocks.8.mlp.fc1,113,fully_connected
dinov2-vit-base-p14,blocks.8.mlp.act,114,activation
dinov2-vit-base-p14,blocks.8.mlp.fc2,115,fully_connected
dinov2-vit-base-p14,blocks.8.mlp.drop,116,other
dinov2-vit-base-p14,blocks.8.ls2,117,other
dinov2-vit-base-p14,blocks.8.drop_path2,118,other
dinov2-vit-base-p14,blocks.9.norm1,119,normalization
dinov2-vit-base-p14,blocks.9.attn.qkv,120,fully_connected
dinov2-vit-base-p14,blocks.9.attn.proj,121,fully_connected
dinov2-vit-base-p14,blocks.9.attn.proj_drop,122,attention
dinov2-vit-base-p14,blocks.9.ls1,123,other
dinov2-vit-base-p14,blocks.9.drop_path1,124,other
dinov2-vit-base-p14,blocks.9.norm2,125,normalization
dinov2-vit-base-p14,blocks.9.mlp.fc1,126,fully_connected
dinov2-vit-base-p14,blocks.9.mlp.act,127,activation
dinov2-vit-base-p14,blocks.9.mlp.fc2,128,fully_connected
dinov2-vit-base-p14,blocks.9.mlp.drop,129,other
dinov2-vit-base-p14,blocks.9.ls2,130,other
dinov2-vit-base-p14,blocks.9.drop_path2,131,other
dinov2-vit-base-p14,blocks.10.norm1,132,normalization
dinov2-vit-base-p14,blocks.10.attn.qkv,133,fully_connected
dinov2-vit-base-p14,blocks.10.attn.proj,134,fully_connected
dinov2-vit-base-p14,blocks.10.attn.proj_drop,135,attention
dinov2-vit-base-p14,blocks.10.ls1,136,other
dinov2-vit-base-p14,blocks.10.drop_path1,137,other
dinov2-vit-base-p14,blocks.10.norm2,138,normalization
dinov2-vit-base-p14,blocks.10.mlp.fc1,139,fully_connected
dinov2-vit-base-p14,blocks.10.mlp.act,140,activation
dinov2-vit-base-p14,blocks.10.mlp.fc2,141,fully_connected
dinov2-vit-base-p14,blocks.10.mlp.drop,142,other
dinov2-vit-base-p14,blocks.10.ls2,143,other
dinov2-vit-base-p14,blocks.10.drop_path2,144,other
dinov2-vit-base-p14,blocks.11.norm1,145,normalization
dinov2-vit-base-p14,blocks.11.attn.qkv,146,fully_connected
dinov2-vit-base-p14,blocks.11.attn.proj,147,fully_connected
dinov2-vit-base-p14,blocks.11.attn.proj_drop,148,attention
dinov2-vit-base-p14,blocks.11.ls1,149,other
dinov2-vit-base-p14,blocks.11.drop_path1,150,other
dinov2-vit-base-p14,blocks.11.norm2,151,normalization
dinov2-vit-base-p14,blocks.11.mlp.fc1,152,fully_connected
dinov2-vit-base-p14,blocks.11.mlp.act,153,activation
dinov2-vit-base-p14,blocks.11.mlp.fc2,154,fully_connected
dinov2-vit-base-p14,blocks.11.mlp.drop,155,other
dinov2-vit-base-p14,blocks.11.ls2,156,other
dinov2-vit-base-p14,blocks.11.drop_path2,157,other
dinov2-vit-base-p14,norm,158,normalization
dinov2-vit-base-p14,head,159,other
